cutoff,9,,,,,,,,,,,,,,,,,
Database,TandemPV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Source: Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,,,,,,,,,
"hydrogen production, electrolysis, 25 bar, domestic, EP2050",1.00E+00,TandemPV,CH,kilogram,production,"hydrogen, gaseous",,,,,,,,,,,,
"electrolyzer, PEM, Balance of Plant",3.28E-07,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,,,,,,,,,
"electrolyzer, PEM, Stack",9.38E-07,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,,,,,,,,,
"market for electricity, low voltage",5.46E+01,ecoinvent 3.7.1,CH,kilowatt hour,technosphere,"electricity, low voltage",,Electricity consumption with 61% eff.,,,,,,,,,,
"market for water, deionised",1.20E+01,ecoinvent 3.7.1,Europe without Switzerland,kilogram,technosphere,"water, deionised",,"A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 12 kg H2O. ",,,,,,,,,,
Oxygen,8.00E+00,biosphere3,,kilogram,biosphere,,air,this flow is available if ecoinvent 3.8 is used,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, imported, EP2050",,,,,,,,,,,,,,,,,
production amount,1.00E+00,,,,,,,,,,,,,,,,,
comment,"1 kg H2 produced using a PEM electrolyzer. Source: Bareiß, K., de la Rua, C., Möckl, M., Hamacher, T., 2019. Life cycle assessment of hydrogen from proton exchange membrane water electrolysis in future energy systems 237, 862-872. 10.1016/j.apenergy.2019.01.001",,,,,,,,,,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,,,,,,,,,,,
location,CH,,,,,,,,,,,,,,,,,
unit,kilogram,,,,,,,,,,,,,,,,,
Exchanges,,,,,,,,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment,,,,,,,,,,
"hydrogen production, electrolysis, 25 bar, imported, EP2050",1.00E+00,TandemPV,CH,kilogram,production,"hydrogen, gaseous",,,,,,,,,,,,
"electrolyzer, PEM, Balance of Plant",3.28E-07,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Balance of Plant",,"Assuming lifetime of electrolyzer stack of 7 years, BOP 20 years",,,,,,,,,,
"electrolyzer, PEM, Stack",9.38E-07,TandemPV,GLO,unit,technosphere,"electrolyzer, PEM, Stack",,,,,,,,,,,,
"market for electricity, low voltage",5.46E+01,ecoinvent 3.7.1,CH,kilowatt hour,technosphere,"electricity, low voltage",,Electricity consumption with 61% eff.,,,,,,,,,,
"market for water, deionised",1.20E+01,ecoinvent 3.7.1,Europe without Switzerland,kilogram,technosphere,"water, deionised",,"A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 12 kg H2O. ",,,,,,,,,,
Oxygen,8.00E+00,biosphere3,,kilogram,biosphere,,air,this flow is available if ecoinvent 3.8 is used,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
